Heads_Pruned,Active_Heads,Test_Accuracy,Accuracy_Loss,Size_Reduction_Pct,Accuracy_Loss_Pct
0,8,0.8671586715867159,0.0,0.0,0.0
1,7,0.8597785977859779,0.0073800738007380184,12.5,0.7380073800738018
2,6,0.8560885608856088,0.011070110701107083,25.0,1.1070110701107083
3,5,0.8634686346863468,0.0036900369003690647,37.5,0.3690036900369065
4,4,0.8634686346863468,0.0036900369003690647,50.0,0.3690036900369065
