lr,h_dim,dropout,layers,test_acc,test_f1
0.01,64,0.3,2,0.8837638376383764,0.8735192094450868
0.01,64,0.5,2,0.8782287822878229,0.866478500246313
0.01,64,0.5,3,0.8653136531365314,0.8581906812437522
0.005,64,0.5,3,0.8690036900369004,0.8542771028465165
0.01,64,0.7,3,0.8690036900369004,0.8539091573307674
0.01,64,0.3,4,0.8616236162361623,0.8523159011185651
0.005,64,0.3,3,0.8653136531365314,0.8521049919466959
0.01,64,0.5,4,0.8634686346863468,0.8504975065370856
0.01,64,0.7,2,0.8708487084870848,0.8492239083279186
0.005,64,0.3,4,0.8579335793357934,0.8489059964272988
0.01,64,0.3,3,0.8597785977859779,0.8466464388194936
0.01,32,0.5,4,0.8616236162361623,0.8411694836994421
0.01,32,0.3,2,0.8634686346863468,0.8400823011563487
0.01,32,0.5,3,0.8597785977859779,0.8394763406506973
0.01,32,0.7,3,0.8505535055350554,0.8263806600129158
0.005,64,0.5,4,0.8468634686346863,0.82238671968969
0.01,32,0.7,4,0.8450184501845018,0.8085722886739177
0.005,64,0.7,3,0.8357933579335793,0.7986288856878258
0.01,32,0.5,2,0.8357933579335793,0.7970342744870763
0.005,64,0.3,2,0.8339483394833949,0.7892749381779398
0.01,32,0.7,2,0.8099630996309963,0.74757013020928
0.01,16,0.3,3,0.8025830258302583,0.7330500777322241
0.005,64,0.5,2,0.8007380073800738,0.7189714601497182
0.01,16,0.3,4,0.7878228782287823,0.7048282854195337
0.005,32,0.5,4,0.7878228782287823,0.7027727379750007
0.01,32,0.3,3,0.8044280442804428,0.6998426590398074
0.01,16,0.3,2,0.7804428044280443,0.6917884730447232
0.005,32,0.3,3,0.7952029520295203,0.6895491984421714
0.005,64,0.7,2,0.7730627306273062,0.6695524243452102
0.01,16,0.5,3,0.7675276752767528,0.6489111240724107
0.005,32,0.5,2,0.7472324723247232,0.6138000854326987
0.005,32,0.5,3,0.7693726937269373,0.6128841472183176
0.005,16,0.3,3,0.7509225092250923,0.6081564827167327
0.005,32,0.3,2,0.7195571955719557,0.5926518368517214
0.005,32,0.3,4,0.7453874538745388,0.5910288915685417
0.005,32,0.7,2,0.7306273062730627,0.5847752960374926
0.005,32,0.7,3,0.7324723247232472,0.5467445672569256
0.01,16,0.5,4,0.6808118081180812,0.5411147403654671
0.005,16,0.7,4,0.7195571955719557,0.5290593475660461
0.01,16,0.5,2,0.6955719557195572,0.5233143346791598
0.01,16,0.7,2,0.6623616236162362,0.4986083461079363
0.01,64,0.7,4,0.6752767527675276,0.49789333516113093
0.005,16,0.3,4,0.6494464944649446,0.49190594892037115
0.001,64,0.3,3,0.6678966789667896,0.48390039918278277
0.005,64,0.7,4,0.6826568265682657,0.4805795092866759
0.005,16,0.7,2,0.6309963099630996,0.4642561840799145
0.001,64,0.5,4,0.6328413284132841,0.45724439628019686
0.005,16,0.5,3,0.6457564575645757,0.44678805515042447
0.01,16,0.7,3,0.6678966789667896,0.4324595403729478
0.001,64,0.3,4,0.6586715867158671,0.42694031292719453
0.005,16,0.5,4,0.6623616236162362,0.42375847081437923
0.01,32,0.3,4,0.6476014760147601,0.41597199168568383
0.005,16,0.3,2,0.566420664206642,0.403494758236462
0.005,16,0.7,3,0.6162361623616236,0.3859554840181327
0.005,32,0.7,4,0.6125461254612546,0.37729699043495807
0.005,16,0.5,2,0.5627306273062731,0.3608286143050509
0.001,64,0.7,3,0.5166051660516605,0.31551935063796666
0.001,32,0.3,4,0.514760147601476,0.3117688629935083
0.001,64,0.5,3,0.5553505535055351,0.3040665899523834
0.001,64,0.7,4,0.533210332103321,0.2743551818521695
0.01,16,0.7,4,0.4446494464944649,0.21604538418448407
0.001,16,0.7,2,0.4151291512915129,0.20102362914862917
0.001,32,0.5,4,0.3985239852398524,0.1856138760451355
0.001,16,0.3,2,0.3671586715867159,0.17202186458522145
0.001,32,0.5,2,0.2859778597785978,0.16820789910125017
0.001,32,0.7,3,0.3173431734317343,0.16299597829784657
0.001,32,0.5,3,0.3763837638376384,0.15955387895686401
0.001,32,0.7,4,0.4022140221402214,0.15585334839993223
0.001,64,0.5,2,0.34317343173431736,0.15220434801912064
0.001,32,0.3,3,0.3634686346863469,0.14963648689716438
0.001,64,0.7,2,0.2730627306273063,0.14743113361626686
0.001,32,0.7,2,0.2952029520295203,0.1104965877878258
0.001,64,0.3,2,0.33025830258302585,0.10226363742299663
0.001,16,0.7,3,0.2933579335793358,0.09821660512150708
0.001,32,0.3,2,0.2952029520295203,0.09534768792444658
0.001,16,0.3,4,0.2730627306273063,0.09343328218610424
0.001,16,0.5,2,0.28413284132841327,0.08686362741704504
0.001,16,0.5,4,0.3081180811808118,0.07103313353313354
0.001,16,0.5,3,0.30996309963099633,0.0676056338028169
0.001,16,0.3,3,0.3044280442804428,0.06668013740149525
0.001,16,0.7,4,0.3007380073800738,0.06615259740259741
