lr,h_dim,dropout,K (Hops),alpha,test_acc,test_f1
0.005,32,0.3,10,0.2,0.8321033210332104,0.766718368877337
0.005,64,0.7,20,0.1,0.8265682656826568,0.7665278033202562
0.01,16,0.5,20,0.1,0.8284132841328413,0.7663298812411651
0.005,32,0.5,10,0.2,0.8265682656826568,0.7627884867106147
0.005,32,0.3,10,0.1,0.8247232472324724,0.7597892611260415
0.005,32,0.5,20,0.1,0.8228782287822878,0.7568698257247556
0.01,16,0.7,20,0.2,0.8154981549815498,0.748549764772713
0.005,16,0.3,10,0.2,0.8081180811808119,0.7420011306905946
0.005,16,0.3,20,0.2,0.8025830258302583,0.7388790783117443
0.005,32,0.7,10,0.1,0.8007380073800738,0.7135522232983565
0.005,32,0.7,10,0.2,0.7970479704797048,0.7066341065429452
0.01,16,0.7,20,0.1,0.7988929889298892,0.6903453647263792
0.01,16,0.7,10,0.2,0.7988929889298892,0.6897847470693476
0.005,16,0.3,20,0.1,0.7878228782287823,0.6887961674353527
0.01,16,0.7,10,0.1,0.8007380073800738,0.6864689551399484
0.005,32,0.7,20,0.1,0.7785977859778598,0.6656523218930241
0.005,32,0.7,20,0.2,0.7785977859778598,0.6595988392896072
0.005,16,0.3,10,0.1,0.7638376383763837,0.6565886111688678
0.005,16,0.5,20,0.2,0.7693726937269373,0.6483638411896174
0.005,16,0.5,10,0.2,0.7675276752767528,0.646012904434552
0.005,16,0.5,20,0.1,0.7619926199261993,0.6394401108583657
0.005,16,0.5,10,0.1,0.7675276752767528,0.6359906571462561
0.005,16,0.7,10,0.1,0.7343173431734318,0.5621545460424312
0.005,16,0.7,20,0.1,0.7324723247232472,0.5620768784150402
0.005,16,0.7,20,0.2,0.7177121771217713,0.5437871902742046
0.005,16,0.7,10,0.2,0.7047970479704797,0.5333786614861442
0.001,64,0.3,20,0.2,0.5369003690036901,0.3887967727780407
0.001,64,0.3,10,0.2,0.525830258302583,0.3715471693804656
0.001,64,0.3,10,0.1,0.522140221402214,0.36258639840239015
0.001,64,0.3,20,0.1,0.514760147601476,0.346321097939765
0.001,64,0.7,20,0.1,0.5682656826568265,0.32287906738052213
0.001,64,0.5,20,0.1,0.492619926199262,0.31795685081823516
0.001,64,0.5,20,0.2,0.470479704797048,0.31125238315907483
0.001,64,0.5,10,0.2,0.45940959409594095,0.2929248846364031
0.001,64,0.5,10,0.1,0.45571955719557194,0.2751624311993953
0.001,16,0.7,20,0.1,0.45940959409594095,0.2606651578982582
0.001,64,0.7,20,0.2,0.4188191881918819,0.2282915000288135
0.001,16,0.3,20,0.2,0.4114391143911439,0.22710727601297448
0.001,32,0.5,10,0.2,0.46494464944649444,0.22452796698772065
0.001,64,0.7,10,0.2,0.4114391143911439,0.21453529450587447
0.001,32,0.3,20,0.2,0.42435424354243545,0.2071756029499701
0.001,16,0.5,20,0.2,0.44095940959409596,0.2051909220728592
0.001,64,0.7,10,0.1,0.4114391143911439,0.20476190476190476
0.001,32,0.7,10,0.2,0.4280442804428044,0.19473627533329022
0.001,16,0.5,20,0.1,0.4151291512915129,0.19396370170709792
0.001,32,0.5,10,0.1,0.4317343173431734,0.19377767870526674
0.001,32,0.3,10,0.1,0.43911439114391143,0.18385589758639562
0.001,16,0.7,10,0.1,0.4280442804428044,0.18315616539562646
0.001,32,0.3,20,0.1,0.43357933579335795,0.1818525996971227
0.001,16,0.5,10,0.2,0.4059040590405904,0.18012394430891085
0.001,32,0.7,10,0.1,0.3634686346863469,0.1784573506338551
0.001,32,0.7,20,0.1,0.4354243542435424,0.17682493872970065
0.001,32,0.3,10,0.2,0.4059040590405904,0.16701434159061276
0.001,32,0.5,20,0.2,0.3505535055350554,0.15277196216200398
0.001,16,0.5,10,0.1,0.3413284132841328,0.14308506308506308
0.001,16,0.3,20,0.1,0.3284132841328413,0.1380109565950274
0.001,16,0.3,10,0.1,0.32287822878228783,0.13744928837456769
0.001,32,0.7,20,0.2,0.3081180811808118,0.12986220129077272
0.001,32,0.5,20,0.1,0.3044280442804428,0.0870748299319728
0.001,16,0.7,20,0.2,0.2878228782287823,0.08057122965901146
0.001,16,0.3,10,0.2,0.2915129151291513,0.06448979591836734
0.001,16,0.7,10,0.2,0.2915129151291513,0.06448979591836734
