lr,h_dim,dropout,K (Hops),alpha,test_acc,test_f1
0.01,64,0.3,10,0.2,0.8819188191881919,0.8545095256771855
0.01,64,0.7,10,0.2,0.8671586715867159,0.8394749565402497
0.01,64,0.5,10,0.1,0.8653136531365314,0.8378550071725082
0.01,64,0.3,20,0.2,0.8653136531365314,0.8368673707066406
0.01,64,0.5,20,0.1,0.8616236162361623,0.8346171472331572
0.01,32,0.3,20,0.1,0.8616236162361623,0.8344280184526044
0.01,64,0.7,10,0.1,0.8634686346863468,0.8337162295046442
0.01,32,0.3,20,0.2,0.8671586715867159,0.8336735921501244
0.01,64,0.7,20,0.2,0.8634686346863468,0.8333639439354645
0.01,64,0.3,20,0.1,0.8616236162361623,0.8324210088828841
0.01,64,0.5,20,0.2,0.8634686346863468,0.831767885664053
0.01,64,0.7,20,0.1,0.8597785977859779,0.8305161070757042
0.01,64,0.3,10,0.1,0.8597785977859779,0.8295267901906416
0.01,32,0.5,20,0.2,0.8616236162361623,0.8287479958908531
0.01,64,0.5,10,0.2,0.8597785977859779,0.8280007426345575
0.01,32,0.3,10,0.1,0.8579335793357934,0.8276779340736218
0.01,32,0.5,10,0.1,0.8579335793357934,0.8251887526188769
0.005,64,0.3,10,0.1,0.8579335793357934,0.8242225398796288
0.005,64,0.3,20,0.2,0.8579335793357934,0.8241170228261864
0.01,32,0.7,10,0.1,0.8579335793357934,0.8235809695598226
0.005,64,0.5,10,0.1,0.8560885608856088,0.8228329538301526
0.01,32,0.5,20,0.1,0.8542435424354243,0.820824313482633
0.01,32,0.5,10,0.2,0.8560885608856088,0.820764837174692
0.01,32,0.3,10,0.2,0.8523985239852399,0.8187766161278534
0.005,64,0.3,20,0.1,0.8523985239852399,0.8187429670144578
0.005,64,0.3,10,0.2,0.8542435424354243,0.8173813580780873
0.01,16,0.3,10,0.1,0.8487084870848709,0.8136803792580346
0.01,32,0.7,20,0.2,0.8487084870848709,0.8116680265574636
0.01,32,0.7,10,0.2,0.8505535055350554,0.8112707811018732
0.01,16,0.5,10,0.2,0.8505535055350554,0.8105095341091776
0.01,16,0.3,20,0.1,0.8468634686346863,0.8098132315682205
0.01,16,0.3,10,0.2,0.8468634686346863,0.8081537883556985
0.005,64,0.5,20,0.2,0.8450184501845018,0.8070493367560477
0.005,64,0.5,20,0.1,0.8431734317343174,0.8069414449784172
0.005,32,0.3,20,0.2,0.8431734317343174,0.8038098681661209
0.01,16,0.3,20,0.2,0.8431734317343174,0.8019424025138999
0.005,64,0.5,10,0.2,0.8394833948339483,0.8009662926790543
0.005,64,0.7,10,0.2,0.8450184501845018,0.7992342377993619
0.01,16,0.5,20,0.2,0.8450184501845018,0.7964977179683063
0.005,64,0.7,20,0.2,0.8357933579335793,0.7885706925744553
0.01,16,0.5,10,0.1,0.8357933579335793,0.7877584783576317
0.01,32,0.7,20,0.1,0.8321033210332104,0.7854040192592231
0.005,32,0.5,10,0.1,0.8339483394833949,0.7713825610868794
0.005,64,0.7,10,0.1,0.8284132841328413,0.7705678186872812
0.005,32,0.5,20,0.2,0.8302583025830258,0.7694901211395239
0.005,32,0.3,20,0.1,0.8265682656826568,0.7686374428818272
