lr,h_dim,dropout,layers,test_acc,test_f1
0.01,64,0.5,3,0.8966789667896679,0.8943147939335544
0.01,32,0.3,3,0.8929889298892989,0.8911377653950199
0.01,64,0.3,2,0.8929889298892989,0.8887481899958731
0.01,64,0.7,3,0.8929889298892989,0.8861795637925026
0.01,64,0.7,2,0.8892988929889298,0.8838672160461146
0.01,64,0.5,4,0.8782287822878229,0.8821387509544574
0.005,64,0.3,3,0.8819188191881919,0.874614056189927
0.01,64,0.5,2,0.8819188191881919,0.8737020703078876
0.01,64,0.3,3,0.8782287822878229,0.873262533120054
0.005,64,0.7,3,0.8819188191881919,0.8705304951539962
0.01,64,0.3,4,0.8782287822878229,0.8688480620030907
0.005,64,0.5,3,0.8745387453874539,0.865041974626159
0.005,64,0.5,4,0.8634686346863468,0.8613199927614887
0.005,64,0.3,4,0.8634686346863468,0.8538378237645408
0.01,32,0.5,3,0.8560885608856088,0.8496083412025441
0.01,32,0.5,4,0.8560885608856088,0.8490550652315357
0.005,32,0.3,4,0.8450184501845018,0.8343256307798604
0.005,64,0.7,2,0.8376383763837638,0.8062498562340262
0.01,32,0.5,2,0.8339483394833949,0.8008385280955829
0.01,32,0.7,2,0.8081180811808119,0.7736850778517445
0.01,32,0.3,2,0.8118081180811808,0.7717068935121673
0.01,32,0.3,4,0.8228782287822878,0.7693189433790939
0.005,64,0.3,2,0.8118081180811808,0.7646561150801203
0.005,32,0.3,3,0.8007380073800738,0.7205566062884733
0.005,64,0.5,2,0.7896678966789668,0.7093885097219352
0.005,32,0.7,4,0.7933579335793358,0.7047683248893241
0.01,16,0.3,4,0.7859778597785978,0.6936182901020144
0.01,32,0.7,4,0.7859778597785978,0.692196274652415
0.005,64,0.7,4,0.7859778597785978,0.6904218026649873
0.01,16,0.3,2,0.7601476014760148,0.684922127891931
0.01,64,0.7,4,0.7822878228782287,0.6817103468414142
0.01,32,0.7,3,0.7822878228782287,0.6702360203767039
0.005,32,0.3,2,0.7527675276752768,0.6530272693479324
0.01,16,0.3,3,0.7749077490774908,0.6520631248450796
0.01,16,0.5,4,0.7416974169741697,0.6493701463868818
0.005,32,0.5,2,0.7416974169741697,0.6398458385072683
0.01,16,0.5,3,0.7675276752767528,0.6382072604477171
0.005,32,0.5,3,0.7564575645756457,0.6221362548174622
0.01,16,0.5,2,0.7158671586715867,0.599422051190896
0.01,16,0.7,3,0.7380073800738007,0.5892327045350818
0.005,32,0.5,4,0.7232472324723247,0.5776117765042578
0.005,16,0.5,4,0.7011070110701108,0.5732623111459493
0.01,16,0.7,2,0.7269372693726938,0.568814366112106
0.005,16,0.3,2,0.6974169741697417,0.5516301794157085
0.005,32,0.7,3,0.6900369003690037,0.5438025155071877
0.001,64,0.5,4,0.7158671586715867,0.5382599203718457
0.005,32,0.7,2,0.6826568265682657,0.5370662539385418
0.005,16,0.3,3,0.6863468634686347,0.5313408667607517
0.001,64,0.3,4,0.6568265682656826,0.5076919859528556
0.005,16,0.5,2,0.6346863468634686,0.4949695395947277
0.005,16,0.3,4,0.6642066420664207,0.4623847615949691
0.005,16,0.7,2,0.5904059040590406,0.459077609538834
0.005,16,0.5,3,0.6494464944649446,0.4209632570977108
0.005,16,0.7,3,0.5904059040590406,0.4069181127229231
0.001,64,0.3,3,0.5498154981549815,0.3906306699874996
0.01,16,0.7,4,0.6014760147601476,0.3885940999357058
0.001,64,0.5,3,0.5092250922509225,0.28340771241598545
0.001,64,0.7,4,0.5092250922509225,0.26719136719136716
0.001,32,0.3,4,0.4833948339483395,0.2629897289069491
0.001,64,0.7,3,0.4797047970479705,0.242452656738371
0.001,16,0.7,3,0.42066420664206644,0.23083361521090792
0.005,16,0.7,4,0.45387453874538747,0.21270275552081297
0.001,64,0.5,2,0.3173431734317343,0.17853021501210078
0.001,32,0.5,3,0.33210332103321033,0.16843896801030556
0.001,64,0.3,2,0.36531365313653136,0.14848269562569774
0.001,16,0.5,4,0.36162361623616235,0.1469716587541361
0.001,32,0.7,2,0.25830258302583026,0.1466288562924333
0.001,32,0.5,2,0.24723247232472326,0.13334576187314268
0.001,16,0.5,2,0.33579335793357934,0.11696827762401532
0.001,16,0.5,3,0.28413284132841327,0.11086003525105077
0.001,32,0.7,4,0.33210332103321033,0.10171187462326703
0.001,16,0.7,2,0.2177121771217712,0.09952832809253435
0.001,32,0.5,4,0.25092250922509224,0.09896994140981592
0.001,16,0.3,2,0.2915129151291513,0.09607319342831473
0.001,32,0.7,3,0.3173431734317343,0.0885684083358502
0.001,64,0.7,2,0.30996309963099633,0.07469807663635009
0.001,32,0.3,2,0.25461254612546125,0.07353704704294216
0.001,16,0.7,4,0.3025830258302583,0.07347110416916977
0.001,16,0.3,4,0.3062730627306273,0.06698950766747377
0.001,16,0.3,3,0.3025830258302583,0.06636989073249697
0.001,32,0.3,3,0.2988929889298893,0.06612244897959184
