lr,h_dim,dropout,layers,test_acc,test_f1
0.01,64,0.7,3,0.8966789667896679,0.9035488754107851
0.01,32,0.3,3,0.8929889298892989,0.8961277841868547
0.005,64,0.5,3,0.8892988929889298,0.8916962886555165
0.01,64,0.5,4,0.8856088560885609,0.8882971808002189
0.01,64,0.5,2,0.8819188191881919,0.8870791214381416
0.01,64,0.3,3,0.8819188191881919,0.8833525086902597
0.01,64,0.3,4,0.8819188191881919,0.8833114551029239
0.01,32,0.3,2,0.8782287822878229,0.8790475698999497
0.01,32,0.7,2,0.8708487084870848,0.8767667542448386
0.01,64,0.7,2,0.8745387453874539,0.87507592893735
0.01,32,0.5,2,0.8745387453874539,0.8745305204859807
0.01,32,0.5,4,0.8782287822878229,0.8727908664049281
0.01,32,0.3,4,0.8782287822878229,0.8726552981686254
0.01,64,0.5,3,0.8745387453874539,0.8708331206679295
0.01,64,0.7,4,0.8708487084870848,0.869888417835768
0.005,64,0.3,3,0.8708487084870848,0.8696565543717165
0.01,64,0.3,2,0.8671586715867159,0.8684109662441053
0.01,16,0.3,2,0.8597785977859779,0.8525708664766212
0.005,16,0.5,2,0.5867158671586716,0.3937316823632488
0.001,16,0.3,2,0.5350553505535055,0.34561256221045233
0.001,64,0.5,2,0.5092250922509225,0.292117427522533
0.001,64,0.3,3,0.5202952029520295,0.29173787192912165
0.01,16,0.5,2,0.5092250922509225,0.2853976785380184
0.001,32,0.5,2,0.4981549815498155,0.2698510007662529
0.005,32,0.3,2,0.47232472324723246,0.21742843316791755
0.01,32,0.5,3,0.3985239852398524,0.19806405774254826
0.001,64,0.5,3,0.4317343173431734,0.19463960447567002
0.005,64,0.5,2,0.45018450184501846,0.19088630667578035
0.001,32,0.7,2,0.42435424354243545,0.18232033040826426
0.001,32,0.3,3,0.41697416974169743,0.180513230933399
0.005,16,0.7,2,0.3948339483394834,0.1798766489965365
0.005,32,0.5,2,0.3948339483394834,0.1779080053073861
0.001,16,0.7,2,0.2878228782287823,0.17476948671888812
0.005,32,0.7,2,0.4059040590405904,0.17457305502846301
0.005,64,0.3,2,0.30996309963099633,0.16663141897943498
0.001,32,0.5,3,0.2915129151291513,0.15969203565902895
0.005,16,0.3,3,0.3726937269372694,0.1588163080700394
0.001,16,0.7,3,0.41697416974169743,0.15857694429123
0.005,16,0.3,4,0.2952029520295203,0.155531686358754
0.005,32,0.5,4,0.3874538745387454,0.14943046238350366
0.001,16,0.5,2,0.35424354243542433,0.13750777758923016
0.005,16,0.3,2,0.34686346863468637,0.1303852773732292
0.001,64,0.7,2,0.3505535055350554,0.1298192419825073
0.001,32,0.3,2,0.3173431734317343,0.12384712604058953
0.005,32,0.3,3,0.25830258302583026,0.10813027797325826
0.005,32,0.7,3,0.31365313653136534,0.0937251154642459
0.005,16,0.7,3,0.11808118081180811,0.09159354371010044
0.001,32,0.3,4,0.3062730627306273,0.08936202686202686
0.005,64,0.7,2,0.3062730627306273,0.0831741563620522
0.001,64,0.3,4,0.2988929889298893,0.07909868818587608
0.005,16,0.5,3,0.2952029520295203,0.07494145199063232
0.01,16,0.3,3,0.2988929889298893,0.07210884353741497
0.01,16,0.5,4,0.2952029520295203,0.06530612244897958
0.001,32,0.7,3,0.2952029520295203,0.06512006512006512
0.001,32,0.5,4,0.2952029520295203,0.06512006512006512
0.001,64,0.3,2,0.2952029520295203,0.06512006512006512
0.001,64,0.5,4,0.2952029520295203,0.06512006512006512
0.001,64,0.7,3,0.2952029520295203,0.06512006512006512
0.005,32,0.5,3,0.2952029520295203,0.06512006512006512
0.005,16,0.7,4,0.2952029520295203,0.06512006512006512
0.005,32,0.3,4,0.2952029520295203,0.06512006512006512
0.01,16,0.3,4,0.2952029520295203,0.06512006512006512
0.01,16,0.5,3,0.2952029520295203,0.06512006512006512
0.01,16,0.7,2,0.2952029520295203,0.06512006512006512
0.01,16,0.7,3,0.2952029520295203,0.06512006512006512
0.01,16,0.7,4,0.2952029520295203,0.06512006512006512
0.01,32,0.7,3,0.2952029520295203,0.06512006512006512
0.01,32,0.7,4,0.2952029520295203,0.06512006512006512
0.005,16,0.5,4,0.2952029520295203,0.06512006512006512
0.001,64,0.7,4,0.2952029520295203,0.06512006512006512
0.005,32,0.7,4,0.2952029520295203,0.06512006512006512
0.005,64,0.3,4,0.2952029520295203,0.06512006512006512
0.005,64,0.5,4,0.2952029520295203,0.06512006512006512
0.005,64,0.7,3,0.2952029520295203,0.06512006512006512
0.005,64,0.7,4,0.2952029520295203,0.06512006512006512
0.001,16,0.3,3,0.2952029520295203,0.06512006512006512
0.001,16,0.3,4,0.2952029520295203,0.06512006512006512
0.001,16,0.5,3,0.16974169741697417,0.04146011716989635
0.001,16,0.7,4,0.16236162361623616,0.04016430853491556
0.001,32,0.7,4,0.16236162361623616,0.039909297052154194
0.001,16,0.5,4,0.16236162361623616,0.039909297052154194
